"Library","UsedIn"
"CARBayesdata","project_libraries.qmd, spatial_data_types_areal.qmd"
"dplyr","GAM_ex.qmd, GLM_ex.qmd, LM_ex.qmd, LMM_ex.qmd, project_libraries.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
"fmesher","project_libraries.qmd, spatial_data_types_PP.qmd"
"ggplot2","GAM_ex.qmd, GLM_ex.qmd, LM_ex.qmd, LMM_ex.qmd, project_libraries.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
"gt","project_libraries.qmd, spatial_data_types_PP.qmd"
"INLA","GAM_ex.qmd, GLM_ex.qmd, LM_ex.qmd, LMM_ex.qmd, project_libraries.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
"inlabru","GAM_ex.qmd, GLM_ex.qmd, LM_ex.qmd, LMM_ex.qmd, project_libraries.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
"lubridate","project_libraries.qmd, spatial_data_types_PP.qmd"
"mapview","project_libraries.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
"patchwork","GAM_ex.qmd, GLM_ex.qmd, LM_ex.qmd, project_libraries.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
"scico","GAM_ex.qmd, GLM_ex.qmd, LM_ex.qmd, project_libraries.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
"sdmTMB","project_libraries.qmd, spatial_data_types_geostats.qmd"
"sf","project_libraries.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
"spatstat","project_libraries.qmd, spatial_data_types_PP.qmd"
"spdep","project_libraries.qmd, spatial_data_types_areal.qmd"
"terra","project_libraries.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
"tidyr","project_libraries.qmd, spatial_data_types_PP.qmd"
"tidyterra","project_libraries.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
"viridis","project_libraries.qmd, spatial_data_types_PP.qmd"
"webexercises","GAM_ex.qmd, GLM_ex.qmd, project_libraries.qmd, spatial_data_types_geostats.qmd, spatial_data_types_PP.qmd"
