"Library","UsedIn"
"dplyr","distance_sampling_spat.qmd, distance_sampling.qmd"
"ggplot2","distance_sampling_spat.qmd, distance_sampling.qmd"
"gt","distance_sampling.qmd"
"INLA","distance_sampling_spat.qmd, distance_sampling.qmd"
"inlabru","distance_sampling_spat.qmd, distance_sampling.qmd"
"mapview","distance_sampling_spat.qmd, distance_sampling.qmd"
"patchwork","distance_sampling_spat.qmd, distance_sampling.qmd"
"scico","distance_sampling_spat.qmd, distance_sampling.qmd"
"sf","distance_sampling_spat.qmd, distance_sampling.qmd"
"tidyterra","distance_sampling.qmd"
"webexercises","distance_sampling_spat.qmd, distance_sampling.qmd"
